Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729100043034,700,700,700,400,11.764705657958984,12.5,6.25,9.090909004211426,50683.865966796875,74269.12896728516,4295.867004394531,0.21405029296875,25127043072,4294963200,687005696,0
200,1729100043035,700,700,700,400,11.764705657958984,12.5,6.25,9.090909004211426,50683.865966796875,74269.12896728516,4295.867614746094,0.21405029296875,25127043072,4294963200,687005696,0
200,1729100043235,700,700,700,400,0,0,0,0,50683.92199707031,74269.49700927734,4295.875305175781,0.21405029296875,25127043072,4294963200,687005696,0
200,1729100043435,700,700,700,400,0,0,0,0,50683.976623535156,74269.86083984375,4295.879699707031,0.21405029296875,25127043072,4294963200,687005696,0
199,1729100043635,700,700,700,400,0,0,0,0,50684.03143310547,74270.22448730469,4295.884521484375,0.21405029296875,25127043072,4294963200,687005696,0
200,1729100043836,700,700,700,400,0,0,0,0,50684.0859375,74270.58666992188,4295.8885498046875,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100044036,700,700,700,400,0,0,0,0,50684.14013671875,74270.94830322266,4295.893249511719,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100044236,700,700,700,400,0,0,0,0,50684.19543457031,74271.3125,4295.898132324219,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100044436,700,700,700,400,0,0,0,0,50684.249572753906,74271.67364501953,4295.901123046875,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100044637,700,700,700,400,0,0,0,0,50684.304138183594,74272.0365600586,4295.9052734375,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100044837,700,700,700,400,0,0,0,0,50684.359375,74272.40246582031,4295.911315917969,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100045037,700,700,700,400,0,5,0,0,50684.414123535156,74272.76611328125,4295.915466308594,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100045238,700,700,700,400,0,0,0,0,50684.46911621094,74273.12994384766,4295.920166015625,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100045438,700,700,700,400,0,0,0,0,50684.52374267578,74273.49133300781,4295.923400878906,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100045638,700,700,700,400,0,0,0,0,50684.57849121094,74273.8539428711,4295.927185058594,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100045839,700,700,700,400,0,0,0,0,50684.63311767578,74274.2162475586,4295.931335449219,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100046039,700,700,700,400,0,0,4.761904716491699,0,50684.68786621094,74274.57849121094,4295.935241699219,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100046239,700,700,700,400,0,0,0,0,50684.742919921875,74274.94348144531,4295.9412841796875,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100046439,700,700,700,400,0,0,0,0,50684.79754638672,74275.30554199219,4295.945129394531,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100046639,700,700,700,400,0,0,0,0,50684.85186767578,74275.66705322266,4295.949279785156,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100046840,700,700,700,400,0,4.761904716491699,0,0,50684.90606689453,74276.02844238281,4295.952697753906,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100047040,700,700,700,400,0,0,0,0,50684.960693359375,74276.38958740234,4295.955871582031,0.21405029296875,25127043072,4294963200,687001600,0
200,1729100047240,700,700,700,400,0,0,0,0,50685.015563964844,74276.75262451172,4295.960205078125,0.21405029296875,25127043072,4294963200,687259648,0
200,1729100047441,700,700,700,400,5,0,0,0,50685.07012939453,74277.11407470703,4295.963928222656,0.21405029296875,25127043072,4294963200,687259648,0
200,1729100047641,700,700,700,400,4.761904716491699,0,0,0,50685.12487792969,74277.47686767578,4295.968322753906,0.21405029296875,25127043072,4294963200,687259648,0
200,1729100047841,700,700,700,400,0,0,0,0,50685.17980957031,74277.8412475586,4295.972229003906,0.21405029296875,25127043072,4294963200,687259648,0
200,1729100048042,700,700,700,400,0,0,0,4.761904716491699,50685.237243652344,74278.2074584961,4295.977722167969,0.21405029296875,25127043072,4294963200,687259648,0
199,1729100048242,700,700,700,400,0,0,0,0,50685.29248046875,74278.57318115234,4295.98291015625,0.21405029296875,25127043072,4294963200,687259648,0
1,1729100048442,700,700,700,400,0,0,0,0,50685.34777832031,74278.93719482422,4295.9879150390625,0.21405029296875,25127043072,4294963200,687517696,0
