10000 100000
4295 5468 6
2792 3479 10
9707 4280 9
7616 4618 7
3511 9887 4
101 3910 7
7702 4730 6
2482 5526 1
2558 1846 3
9578 1067 7
5045 3355 3
5278 5281 9
1249 9644 4
6117 4033 1
6896 8643 2
7842 7421 4
8364 9956 1
417 2309 10
8774 8509 10
4858 2785 10
5114 1509 6
5853 6422 6
1180 3892 4
2414 3316 3
7504 2560 6
791 9006 4
4052 9058 9
7416 6530 4
778 3295 6
2550 2277 4
6111 8810 9
5101 6393 3
1657 8655 2
2101 6049 1
4979 9599 9
5659 895 4
557 4681 3
7661 252 2
2318 1440 9
6186 784 8
2471 9389 3
610 6894 6
8677 615 7
171 5292 10
947 8255 1
4203 6788 8
8963 5483 8
2013 2945 5
3275 3171 7
2437 5594 6
5872 5925 1
2980 8882 6
3001 782 8
3072 6019 4
8268 3331 1
6052 3826 9
6897 3992 6
9813 2362 8
3986 5645 10
6270 847 2
7723 9966 6
2255 989 1
6030 4881 3
7039 6262 9
1559 6090 7
6 934 7
8043 4484 7
5647 7382 8
5379 8982 6
5524 3065 5
5043 2708 9
5044 771 9
8984 6388 4
2722 7573 9
2068 5583 10
2723 4675 8
3721 3594 6
6392 1214 8
9858 3474 7
7493 2069 7
8387 5102 8
4806 9827 7
509 7690 8
6299 8525 3
6154 5543 5
8807 9534 8
5280 7933 2
5206 7810 4
476 4494 10
3277 9930 10
259 2594 9
1404 9049 9
5672 4843 3
3396 21 6
1440 7643 8
5926 9893 1
9575 5439 10
1089 3043 6
9786 9166 6
8524 4954 5
7352 2370 1
4773 4900 9
8109 2998 5
4494 1230 9
193 8488 10
9166 3458 6
6133 5432 4
2040 9363 1
9959 169 10
3589 2910 6
9350 1201 8
629 1259 5
395 7832 3
2034 5011 9
5694 6021 10
6570 2288 2
3150 1843 1
8972 1108 7
5251 2372 9
8506 9239 10
9573 1719 4
1279 715 9
6511 5689 5
770 4824 9
8795 7890 2
3495 2383 8
8021 1247 5
538 9098 5
7235 8111 9
1430 2150 2
4799 799 9
3416 3824 9
1385 1680 5
6031 2819 4
9259 4786 2
1588 7744 6
4514 2311 2
483 4929 1
2953 5505 5
8103 5112 6
1593 2800 9
797 4019 9
4792 1013 9
9018 8548 8
9624 993 10
2501 7230 1
7655 2833 10
5302 7177 3
4808 1306 5
7040 4999 9
9415 2089 7
6581 5130 4
2445 1321 5
3026 5845 4
823 4218 10
2478 7810 5
8537 9135 2
1281 5125 7
7942 8889 1
2777 1220 4
7387 2214 9
9099 5426 10
9986 479 7
2861 99 3
1431 6177 9
5767 9852 5
1722 8934 3
6730 1312 3
7914 721 1
6886 13 10
6131 4085 9
6321 9815 5
8519 4112 9
2547 5602 2
7565 7851 4
2561 4022 2
7150 5557 9
2414 5932 7
7046 4246 10
860 37 1
1190 9922 4
5714 4505 6
6555 661 2
6907 6169 4
9181 3430 3
5703 5195 1
9946 8728 9
459 2853 10
2810 5140 9
8430 5060 6
6331 5286 9
2988 5600 3
6449 3240 4
4439 1225 3
2651 7818 3
1253 2751 4
7643 6133 7
1282 9828 4
313 7351 10
3111 599 5
2167 2336 9
7126 7554 1
6772 5360 8
8062 5536 1
7120 2696 2
4726 9915 10
7496 8777 7
2003 1000 7
7251 4747 4
498 5087 3
9741 5028 4
4084 2500 9
3978 2689 5
9698 302 9
4246 1706 6
1114 3305 4
8574 9891 5
8846 2370 4
350 2581 10
946 7016 3
8408 1477 4
7320 7365 8
4875 1749 4
4194 156 4
6454 1515 9
9968 8204 10
6387 8097 3
6204 4881 8
645 6598 6
2053 3352 6
5062 2186 3
8035 3522 8
9274 7363 10
3134 8816 6
1281 3787 8
6446 5361 5
1095 9760 6
3338 10 1
5448 5481 6
53 4758 8
4604 3675 3
6475 8067 3
8970 3761 10
8714 5812 10
1265 9293 3
4818 9461 10
9554 1527 10
6906 9133 2
8217 9404 4
7722 2858 4
102 8242 8
8459 5939 9
1678 9929 7
9357 9443 1
5336 7595 3
6328 7676 7
9678 1612 1
558 5060 7
7910 887 8
9258 9454 10
9726 3308 8
9908 6520 8
1066 9788 6
9093 6062 2
5828 5747 3
417 8321 2
1792 749 9
6926 4532 6
2245 2327 10
9449 9041 9
6215 4827 5
4992 2153 1
2909 2533 9
9631 2562 10
3903 3794 8
604 6392 9
7405 2562 1
3538 245 6
3741 7304 2
8813 5086 5
4026 4847 9
8345 393 2
9492 1471 3
9111 4150 8
3382 1235 4
9995 3105 6
3147 1748 10
1607 6406 3
9259 5707 10
6650 6913 1
5051 297 2
6723 3896 2
7413 4643 2
8683 2207 3
1611 3481 8
8099 7355 9
5480 888 7
2699 6563 7
9157 4958 10
5301 9532 3
9052 2773 5
8386 3374 10
3668 6791 5
2437 6978 6
8929 9873 7
1406 7072 5
2529 7980 10
3114 1490 8
9644 9294 9
6248 5821 3
4359 9898 7
8255 5643 5
5276 2695 10
3465 6341 6
5316 7718 7
5103 6191 7
4386 2752 10
6070 2948 3
8359 5655 5
7156 9751 9
4929 818 3
5496 699 2
9164 2455 5
6379 4475 3
1328 3995 1
4027 9726 7
5173 7956 2
1264 9816 6
4001 2260 7
7513 7780 4
7686 7991 2
6504 4424 9
6409 5839 5
3306 907 7
5539 12 5
3092 9820 6
5189 837 9
3078 2274 1
2110 4941 1
6204 9588 2
5587 5257 4
1841 3536 9
4305 2220 6
476 1962 2
2189 797 8
4471 2831 9
3755 6950 4
2328 1805 10
8931 5915 6
7144 5041 7
