Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729209296023,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.53717041016,10520.663208007813,7207.353698730469,0.30596923828125,25127043072,4294963200,732676096,0
20,1729209296023,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.5376586914,10520.664916992188,7207.354309082031,0.30596923828125,25127043072,4294963200,732676096,0
19,1729209296043,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.54376220703,10520.713684082031,7207.372619628906,0.30596923828125,25127043072,4294963200,734998528,0
20,1729209296063,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.55072021484,10520.776611328125,7207.398254394531,0.30596923828125,25127043072,4294963200,736804864,0
20,1729209296083,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.56121826172,10520.885009765625,7207.463562011719,0.30596923828125,25127043072,4294963200,740999168,0
20,1729209296103,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.57305908203,10520.995788574219,7207.533752441406,0.30596923828125,25127043072,4294963200,749387776,0
20,1729209296123,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.57946777344,10521.108825683594,7207.604248046875,0.30596923828125,25127043072,4294963200,749387776,0
20,1729209296143,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.59338378906,10521.223083496094,7207.6746826171875,0.30596923828125,25127043072,4294963200,766164992,0
20,1729209296164,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.6000366211,10521.332885742188,7207.7449951171875,0.30596923828125,25127043072,4294963200,766164992,0
19,1729209296184,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.60693359375,10521.450622558594,7207.8160400390625,0.30596923828125,25127043072,4294963200,766164992,0
19,1729209296204,400,1625,2208,2326,6.6666669845581055,10.344827651977539,12.5,6.6666669845581055,80452.61334228516,10521.559753417969,7207.88671875,0.30596923828125,25127043072,4294963200,766164992,0
20,1729209296224,400,1625,2208,2326,100,9.090909004211426,0,0,80452.63177490234,10521.676696777344,7207.957275390625,0.30596923828125,25127043072,4294963200,778174464,0
20,1729209296244,400,1625,2208,2326,100,9.090909004211426,0,0,80452.63891601563,10521.789611816406,7208.0281982421875,0.30596923828125,25127043072,4294963200,778174464,0
20,1729209296264,400,1625,2208,2326,100,9.090909004211426,0,0,80452.64727783203,10521.900085449219,7208.0982666015625,0.30596923828125,25127043072,4294963200,778174464,0
20,1729209296284,400,1625,2208,2326,100,9.090909004211426,0,0,80452.65368652344,10522.012451171875,7208.1693115234375,0.30596923828125,25127043072,4294963200,782368768,0
20,1729209296304,400,1625,2208,2326,100,9.090909004211426,0,0,80452.66015625,10522.121826171875,7208.240661621094,0.30596923828125,25127043072,4294963200,786563072,0
20,1729209296324,400,1625,2208,2326,100,9.090909004211426,0,0,80452.66650390625,10522.233459472656,7208.3114013671875,0.30596923828125,25127043072,4294963200,790757376,0
20,1729209296344,400,1625,2208,2326,100,9.090909004211426,0,0,80452.67297363281,10522.344360351563,7208.382385253906,0.30596923828125,25127043072,4294963200,794951680,0
20,1729209296364,400,1625,2208,2326,100,9.090909004211426,0,0,80452.67993164063,10522.456726074219,7208.455505371094,0.30596923828125,25127043072,4294963200,799145984,0
20,1729209296384,400,1625,2208,2326,100,9.090909004211426,0,0,80452.70739746094,10522.57861328125,7208.525207519531,0.30596923828125,25127043072,4294963200,807759872,0
20,1729209296405,400,1625,2208,2326,100,9.090909004211426,0,0,80452.7163696289,10522.696533203125,7208.5965576171875,0.30596923828125,25127043072,4294963200,807759872,0
20,1729209296425,400,1625,2208,2326,100,0,0,0,80452.72283935547,10522.807250976563,7208.667053222656,0.30596923828125,25127043072,4294963200,811954176,0
20,1729209296445,400,1625,2208,2326,100,0,0,0,80452.72918701172,10522.918579101563,7208.738220214844,0.30596923828125,25127043072,4294963200,816148480,0
20,1729209296465,400,1625,2208,2326,100,0,0,0,80452.73559570313,10523.027648925781,7208.809265136719,0.30596923828125,25127043072,4294963200,820342784,0
20,1729209296485,400,1625,2208,2326,100,0,0,0,80452.74383544922,10523.1416015625,7208.879333496094,0.30596923828125,25127043072,4294963200,824537088,0
19,1729209296505,400,1625,2208,2326,100,0,0,0,80452.75036621094,10523.251831054688,7208.9508056640625,0.30596923828125,25127043072,4294963200,828731392,0
20,1729209296525,400,1625,2208,2326,100,0,0,0,80452.7568359375,10523.362487792969,7209.021484375,0.30596923828125,25127043072,4294963200,832917504,0
