__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_0_repetition_0,DONE,ChatGPT,BB,2400.0,2400.0,2400.0,2400.0,72.72,0.73,26.75,0.21,25127043072.0,1056236258.76,4294963200.0,0.0,80384286.015,11253517.626,7353305.125,305.723,20.36435866355896
run_1_repetition_0,DONE,ChatGPT,BFA,2397.0,2384.0,2240.0,1855.0,9.38,6.45,12.5,9.68,25127043072.0,751316992.0,4294963200.0,0.0,241646.474,34008.616,22216.95,0.919,0.355910062789917
run_2_repetition_0,DONE,ChatGPT,SWA,2120.0,2352.0,400.0,1540.0,1.26,46.38,0.37,52.29,25127043072.0,1937392665.82,4294963200.0,0.0,57513852.016,8125005.442,5306518.514,218.724,14.663633584976196
run_3_repetition_0,DONE,Claude,BB,2381.0,2399.0,1115.0,1517.0,87.38,0.72,12.03,0.1,25127043072.0,1225887973.84,4294963200.0,0.0,80396286.482,11458787.164,7482573.313,305.723,20.34555220603943
run_4_repetition_0,DONE,Claude,BFA,2348.0,2268.0,400.0,2261.0,9.09,6.06,6.06,8.82,25127043072.0,740088490.67,4294963200.0,0.0,241682.788,34631.51,22611.237,0.919,0.3716115951538086
run_5_repetition_0,DONE,Claude,SWA,2278.0,2347.0,2121.0,400.0,1.3,0.24,98.44,0.11,25127043072.0,1873643795.2,4294963200.0,0.0,51560644.653,7412849.839,4838691.605,196.055,13.14158010482788
run_6_repetition_0,DONE,Gemeni,BB,2399.0,2400.0,2386.0,2400.0,12.5,6.25,9.09,9.09,25127043072.0,751882240.0,4294963200.0,0.0,241698.487,34865.618,22753.188,0.919,0.3611147403717041
run_7_repetition_0,DONE,Gemeni,BFA,2197.0,2359.0,1384.0,2044.0,6.67,6.67,12.9,10.0,25127043072.0,756469760.0,4294963200.0,0.0,241699.695,34873.869,22753.885,0.919,0.3467714786529541
run_8_repetition_0,DONE,Gemeni,SWA,2399.0,2400.0,400.0,1572.0,1.2,45.08,0.61,53.02,25127043072.0,1179259192.08,4294963200.0,0.0,33838676.582,4893428.119,3192037.166,128.661,8.74123239517212
run_9_repetition_0,DONE,Llama,BB,2228.0,2386.0,2328.0,2224.0,6.67,10.0,10.0,6.45,25127043072.0,741728256.0,4294963200.0,0.0,241709.807,35033.073,22847.646,0.919,0.3462650775909424
run_10_repetition_0,DONE,Llama,BFA,2281.0,2345.0,2104.0,2218.0,0.74,26.2,0.92,73.24,25127043072.0,2848627996.5,4294963200.0,0.0,80332739.561,11701065.296,7628387.916,305.416,20.33737325668335
run_11_repetition_0,DONE,Llama,SWA,2399.0,1537.0,2337.0,2242.0,97.15,0.31,0.31,1.38,25127043072.0,1165554769.27,4294963200.0,0.0,30459179.098,4466515.395,2910851.432,115.805,7.916110515594482
run_12_repetition_0,DONE,Mistral,BB,2370.0,2296.0,400.0,2319.0,9.38,9.38,6.45,12.5,25127043072.0,728043520.0,4294963200.0,0.0,241744.355,35521.791,23144.957,0.919,0.3520016670227051
run_13_repetition_0,DONE,Mistral,BFA,2242.0,2356.0,2056.0,1528.0,1.78,1.71,0.54,0.17,25127043072.0,735096270.45,4294963200.0,0.0,79940050.157,11767746.451,7654455.371,303.945,20.338908672332764
run_14_repetition_0,DONE,Mistral,SWA,2254.0,2247.0,1770.0,2130.0,94.78,0.99,0.7,1.65,25127043072.0,1161700803.44,4294963200.0,0.0,14989498.658,2212461.85,1436639.224,56.99,4.079131126403809
