__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_0_repetition_0,DONE,ChatGPT,BB,2400.0,2400.0,2400.0,2399.0,95.55,0.27,3.75,0.58,25127051264.0,978625769.76,4294963200.0,0.0,105074200.415,191021609.648,19071951.391,404.423,20.388458728790283
run_1_repetition_0,DONE,ChatGPT,BFA,2400.0,2399.0,2400.0,2400.0,0.31,91.41,0.36,8.15,25127051264.0,686457506.64,4294963200.0,0.0,99255910.394,180602023.512,18078246.005,382.027,19.18999934196472
run_2_repetition_0,DONE,ChatGPT,SWA,2398.0,2391.0,400.0,1114.0,89.48,0.9,9.6,0.23,25127051264.0,1883901064.8,4294963200.0,0.0,81861879.495,149073958.758,14955418.79,315.054,15.888927936553955
run_3_repetition_0,DONE,Claude,BB,2121.0,2398.0,2216.0,400.0,0.61,54.47,0.32,45.11,25127051264.0,1126740459.35,4294963200.0,0.0,105347103.86,191998744.666,19304633.04,405.385,20.381340503692627
run_4_repetition_0,DONE,Claude,BFA,2114.0,2169.0,2350.0,1729.0,98.98,0.15,0.49,0.56,25127051264.0,677697267.07,4294963200.0,0.0,105155171.394,191816967.046,19335497.814,404.665,20.36711025238037
run_5_repetition_0,DONE,Claude,SWA,2087.0,1920.0,1289.0,400.0,98.45,0.21,0.61,0.62,25127051264.0,1805087949.99,4294963200.0,0.0,72878837.429,133045616.029,13438095.2,280.404,14.211307525634766
run_6_repetition_0,DONE,Gemeni,BB,2365.0,888.0,1002.0,2185.0,9.09,11.76,14.29,17.65,25127051264.0,679358464.0,4294963200.0,0.0,318764.729,582247.116,58843.253,1.226,0.38707995414733887
run_7_repetition_0,DONE,Gemeni,BFA,2100.0,1042.0,400.0,2099.0,0.58,98.05,0.12,1.23,25127051264.0,695248963.61,4294963200.0,0.0,99789992.76,182386765.078,18451081.339,383.876,19.281520128250122
run_8_repetition_0,DONE,Gemeni,SWA,2400.0,2399.0,400.0,2400.0,0.87,26.69,0.43,71.4,25127051264.0,1125234547.85,4294963200.0,0.0,48150143.813,88068586.167,8924348.737,185.22,9.494681119918823
run_0_repetition_1,DONE,ChatGPT,BB,2400.0,2400.0,400.0,700.0,97.17,0.32,2.01,0.63,25127051264.0,987037584.18,4294963200.0,0.0,105141550.394,192449413.52,19534398.024,404.377,20.37683415412903
run_1_repetition_1,DONE,ChatGPT,BFA,2364.0,400.0,800.0,2398.0,74.19,0.82,25.06,0.21,25127051264.0,677794330.26,4294963200.0,0.0,99526241.576,182328655.804,18552926.105,382.801,19.22336459159851
run_2_repetition_1,DONE,ChatGPT,SWA,2262.0,400.0,400.0,2372.0,98.7,0.45,0.38,0.79,25127051264.0,1884170245.32,4294963200.0,0.0,81890695.351,150141682.66,15310175.765,314.979,15.888105869293213
run_3_repetition_1,DONE,Claude,BB,2349.0,2350.0,2396.0,400.0,92.8,0.29,6.78,0.54,25127051264.0,1140633045.03,4294963200.0,0.0,105201841.759,193037786.466,19726755.732,404.662,20.35770010948181
run_4_repetition_1,DONE,Claude,BFA,2400.0,400.0,1700.0,2400.0,90.45,0.5,9.04,0.22,25127051264.0,688851884.3,4294963200.0,0.0,105435155.0,193633891.111,19836576.26,405.558,20.393391847610474
run_5_repetition_1,DONE,Claude,SWA,2400.0,2400.0,400.0,2399.0,0.58,98.55,0.34,0.42,25127051264.0,1818511365.95,4294963200.0,0.0,73211945.542,134560651.581,13811758.307,281.684,14.210488557815552
run_6_repetition_1,DONE,Gemeni,BB,2236.0,1271.0,400.0,2378.0,6.25,14.29,15.15,9.09,25127051264.0,690638848.0,4294963200.0,0.0,319290.835,587163.267,60302.771,1.228,0.38657426834106445
run_7_repetition_1,DONE,Gemeni,BFA,2112.0,2307.0,1252.0,2339.0,91.24,0.6,7.98,0.16,25127051264.0,693043488.51,4294963200.0,0.0,99741730.857,183533810.514,18867696.735,383.63,19.252720594406128
run_8_repetition_1,DONE,Gemeni,SWA,2372.0,400.0,1342.0,2400.0,0.58,0.76,0.74,97.93,25127051264.0,1113304321.13,4294963200.0,0.0,48336007.41,89007048.796,9165045.412,185.906,9.481138706207275
run_0_repetition_2,DONE,ChatGPT,BB,2203.0,1466.0,1288.0,2376.0,0.66,65.35,0.17,33.83,25127051264.0,987269520.52,4294963200.0,0.0,105634325.063,194659364.657,20076933.811,406.209,20.385172128677368
run_1_repetition_2,DONE,ChatGPT,BFA,2319.0,2373.0,1370.0,2134.0,97.05,1.23,2.14,0.19,25127051264.0,680729056.07,4294963200.0,0.0,99051236.031,182684594.28,18887250.821,381.048,19.10487413406372
run_2_repetition_2,DONE,ChatGPT,SWA,2400.0,1682.0,1412.0,2400.0,89.84,0.38,9.22,0.74,25127051264.0,1869516432.48,4294963200.0,0.0,81919110.829,151207282.649,15664870.321,315.175,15.897688865661621
run_3_repetition_2,DONE,Claude,BB,2398.0,1285.0,400.0,2181.0,0.48,51.85,0.23,47.59,25127051264.0,1122736483.1,4294963200.0,0.0,105694833.155,195249970.646,20270151.789,406.572,20.380043745040894
run_4_repetition_2,DONE,Claude,BFA,2400.0,400.0,2399.0,2400.0,98.97,0.23,0.24,0.78,25127051264.0,681316273.31,4294963200.0,0.0,105395714.229,194864795.681,20278605.885,405.584,20.35295081138611
run_5_repetition_2,DONE,Claude,SWA,2100.0,2100.0,2100.0,800.0,98.57,0.21,0.61,0.62,25127051264.0,1800124892.28,4294963200.0,0.0,73332554.304,135689028.227,14147323.928,282.146,14.233612775802612
run_6_repetition_2,DONE,Gemeni,BB,2229.0,2116.0,2339.0,1186.0,12.5,20.59,9.38,9.68,25127051264.0,676814848.0,4294963200.0,0.0,319816.679,592082.461,61765.115,1.23,0.3626267910003662
run_7_repetition_2,DONE,Gemeni,BFA,2400.0,2399.0,400.0,2400.0,0.69,0.29,0.2,98.89,25127051264.0,683636958.7,4294963200.0,0.0,100012641.635,185268355.083,19345564.561,384.784,19.305490970611572
run_8_repetition_2,DONE,Gemeni,SWA,2260.0,400.0,2315.0,2358.0,0.25,45.57,0.5,52.57,25127051264.0,1116222968.09,4294963200.0,0.0,48308982.51,89554404.841,9366168.693,185.828,9.489915132522583
run_0_repetition_3,DONE,ChatGPT,BB,2267.0,1270.0,400.0,2390.0,0.92,29.67,0.15,69.9,25127051264.0,979757196.39,4294963200.0,0.0,105808333.247,196287755.136,20561971.724,406.996,20.37546968460083
run_1_repetition_3,DONE,ChatGPT,BFA,2342.0,400.0,2400.0,2396.0,0.76,98.92,0.15,0.3,25127051264.0,689643978.05,4294963200.0,0.0,99214348.924,184211370.622,19342085.235,381.956,19.111618757247925
run_2_repetition_3,DONE,ChatGPT,SWA,2398.0,799.0,400.0,2399.0,0.75,98.74,0.29,0.29,25127051264.0,1884687692.47,4294963200.0,0.0,82160679.602,152668359.464,16062238.725,316.29,15.875656366348267
run_3_repetition_3,DONE,Claude,BB,2400.0,2400.0,1728.0,888.0,93.09,0.53,6.34,0.1,25127051264.0,1129006440.62,4294963200.0,0.0,105762086.937,196680378.433,20734824.906,407.07,20.354163646697998
run_4_repetition_3,DONE,Claude,BFA,1302.0,800.0,2167.0,2357.0,28.94,69.73,0.94,0.41,25127051264.0,683740349.09,4294963200.0,0.0,105782692.232,196885938.853,20804628.769,407.07,20.363532304763794
run_5_repetition_3,DONE,Claude,SWA,2400.0,791.0,2399.0,2400.0,0.34,23.43,0.36,75.37,25127051264.0,1804257348.56,4294963200.0,0.0,73346501.261,136619510.935,14462772.775,282.197,14.205740928649902
run_6_repetition_3,DONE,Gemeni,BB,2400.0,2399.0,400.0,2401.0,12.12,8.82,11.43,8.82,25127051264.0,670830592.0,4294963200.0,0.0,320342.988,597007.281,63232.647,1.232,0.39002394676208496
run_7_repetition_3,DONE,Gemeni,BFA,2400.0,827.0,400.0,2400.0,0.45,91.08,0.24,8.44,25127051264.0,676625974.47,4294963200.0,0.0,100390737.063,187206353.003,19846503.143,386.178,19.29314613342285
run_8_repetition_3,DONE,Gemeni,SWA,2397.0,400.0,2263.0,2324.0,0.46,97.62,1.06,0.44,25127051264.0,1110081156.24,4294963200.0,0.0,48388397.433,90297892.231,9587628.268,186.243,9.471585512161255
run_0_repetition_4,DONE,ChatGPT,BB,2311.0,919.0,1123.0,2398.0,0.53,91.62,0.36,7.7,25127051264.0,977719977.98,4294963200.0,0.0,105875339.383,197716280.019,21025680.101,407.456,20.36869788169861
run_1_repetition_4,DONE,ChatGPT,BFA,2100.0,400.0,2100.0,2100.0,0.22,98.96,0.48,0.45,25127051264.0,685999699.96,4294963200.0,0.0,99697889.835,186337187.855,19860928.913,383.701,19.168190479278564
run_2_repetition_4,DONE,ChatGPT,SWA,2363.0,400.0,2400.0,2398.0,0.31,98.71,0.37,0.55,25127051264.0,1879594072.76,4294963200.0,0.0,82616257.921,154532249.154,16503027.775,317.9,15.927588939666748
run_3_repetition_4,DONE,Claude,BB,1802.0,1495.0,2400.0,2400.0,0.55,98.98,0.44,0.31,25127051264.0,1137061751.74,4294963200.0,0.0,106042666.596,198508021.27,21241515.66,408.083,20.42470693588257
run_4_repetition_4,DONE,Claude,BFA,2161.0,400.0,700.0,2345.0,0.57,61.8,0.51,37.49,25127051264.0,680896534.73,4294963200.0,0.0,105956327.873,198514224.177,21290556.615,407.675,20.356663465499878
