__run_id,__done,llm,algorithm,cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,total_memory,used_memory,total_swap,used_swap,dram_energy,package_energy,pp0_energy,pp1_energy,run_time
run_0_repetition_0,DONE,ChatGPT,BB,2399.0,2404.0,2399.0,2400.0,82.57,0.2,16.95,0.74,25127043072.0,1105400013.42,4294963200.0,0.0,89474666.695,74426085.421,10391278.631,334.808,20.317402124404907
run_1_repetition_0,DONE,ChatGPT,BFA,2400.0,2400.0,400.0,2400.0,9.38,6.25,9.09,6.25,25127043072.0,778829824.0,4294963200.0,0.0,269241.971,224130.628,31380.541,1.007,0.37618112564086914
run_2_repetition_0,DONE,ChatGPT,SWA,2400.0,1150.0,2400.0,2400.0,1.33,8.46,0.17,90.44,25127043072.0,1967938373.56,4294963200.0,0.0,64081570.682,53374115.349,7487545.445,239.772,14.6485116481781
run_3_repetition_0,DONE,Claude,BB,2103.0,2128.0,400.0,2113.0,1.18,32.31,30.2,36.92,25127043072.0,1256712362.5,4294963200.0,0.0,89486629.238,74631547.16,10520808.574,334.808,20.337932109832764
run_4_repetition_0,DONE,Claude,BFA,2399.0,2400.0,400.0,2399.0,12.5,6.45,3.33,3.45,25127043072.0,762593280.0,4294963200.0,0.0,269278.219,224752.277,31773.76,1.007,0.3512089252471924
run_5_repetition_0,DONE,Claude,SWA,2400.0,1321.0,400.0,2400.0,1.22,28.42,0.39,70.23,25127043072.0,1884441807.37,4294963200.0,0.0,57178387.725,47747217.113,6761645.029,213.914,13.125364780426025
run_6_repetition_0,DONE,Gemeni,BB,2399.0,400.0,2400.0,2400.0,6.67,6.67,10.0,9.68,25127043072.0,765145088.0,4294963200.0,0.0,269293.971,224987.309,31916.684,1.007,0.35173869132995605
run_7_repetition_0,DONE,Gemeni,BFA,2400.0,1298.0,400.0,2400.0,12.9,6.67,6.9,6.67,25127043072.0,774643712.0,4294963200.0,0.0,269295.177,224995.663,31917.444,1.007,0.35262632369995117
run_8_repetition_0,DONE,Gemeni,SWA,2400.0,2400.0,1700.0,2400.0,0.29,21.64,1.14,76.37,25127043072.0,1204107624.84,4294963200.0,0.0,37702045.308,31510494.37,4474958.496,141.092,8.722848176956177
run_9_repetition_0,DONE,Llama,BB,400.0,1653.0,2400.0,2400.0,6.45,9.38,6.67,6.45,25127043072.0,768573440.0,4294963200.0,0.0,269305.305,225155.164,32011.468,1.008,0.35697078704833984
run_10_repetition_0,DONE,Llama,BFA,1200.0,400.0,1200.0,1199.0,22.58,0.95,77.29,0.28,25127043072.0,2862817017.07,4294963200.0,0.0,89503630.575,74884850.462,10673671.403,334.955,20.346435070037842
run_11_repetition_0,DONE,Llama,SWA,2399.0,1883.0,1994.0,2400.0,0.31,1.04,0.54,97.3,25127043072.0,1181278402.02,4294963200.0,0.0,34115756.001,28572238.722,4086952.386,127.679,7.9398438930511475
run_12_repetition_0,DONE,Mistral,BB,2399.0,2399.0,1100.0,2401.0,10.34,3.45,6.9,6.9,25127043072.0,759554048.0,4294963200.0,0.0,269339.768,225643.832,32308.588,1.008,0.34206438064575195
run_13_repetition_0,DONE,Mistral,BFA,2400.0,400.0,400.0,2400.0,2.72,0.4,0.65,0.22,25127043072.0,766827148.39,4294963200.0,0.0,89064926.359,74634469.357,10684322.649,333.311,20.357630729675293
run_14_repetition_0,DONE,Mistral,SWA,2399.0,1302.0,400.0,2380.0,1.45,22.27,0.87,73.85,25127043072.0,1180811198.29,4294963200.0,0.0,16790197.213,14075227.596,2015515.252,62.832,4.091794729232788
run_0_repetition_1,DONE,ChatGPT,BB,2400.0,2400.0,1115.0,400.0,56.38,0.07,43.07,0.77,25127043072.0,1074114822.67,4294963200.0,0.0,89611626.177,75188440.537,10800813.093,335.327,20.363277912139893
run_1_repetition_1,DONE,ChatGPT,BFA,2400.0,2217.0,400.0,2400.0,7.41,7.14,6.9,3.57,25127043072.0,758153216.0,4294963200.0,0.0,269383.821,226197.602,32580.159,1.008,0.3340721130371094
